seed,sim_gens,min_K,max_K,period,init_K,init_dec,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
4243874972902,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,12
3657782053818,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,13
3838623094459,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,14
8002134441752,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,15
3940663733740,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,16
4249154999398,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,17
3820182986970,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,18
4207744826831,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,19
3726082440329,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,2
7896583845718,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,20
4882074500759,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,21
3662982079937,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,22
7946634142644,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,23
4008254059692,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,24
2014426151196,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,25
8061544721496,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,26
4358595415406,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,27
4347045374252,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,28
4184084733156,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,29
3754292587263,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,3
4797212245764,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,30
8114605007742,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,4
7759402510296,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,5
4819413103315,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,6
7707352039731,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,7
4525475670455,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,8
8109294986825,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,9
3643451972187,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,1
4227764906846,80,500,5000,9,2750,F,0.01,0.25,0.13,0.876,0.5446,15,10
