seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
7151694862221,80,0,0.01,0.13,0.876,0.7805,15,15
4774926372169,80,0,0.01,0.13,0.876,0.7805,15,16
3082465018284,80,0,0.01,0.13,0.876,0.7805,15,17
3155985249187,80,0,0.01,0.13,0.876,0.7805,15,18
7669626316318,80,0,0.01,0.13,0.876,0.7805,15,19
7124344696792,80,0,0.01,0.13,0.876,0.7805,15,2
3091025063307,80,0,0.01,0.13,0.876,0.7805,15,20
3023614810379,80,0,0.01,0.13,0.876,0.7805,15,21
4363515373522,80,0,0.01,0.13,0.876,0.7805,15,22
3043684873028,80,0,0.01,0.13,0.876,0.7805,15,23
3129505149644,80,0,0.01,0.13,0.876,0.7805,15,24
1686265368968,80,0,0.01,0.13,0.876,0.7805,15,25
3017244791692,80,0,0.01,0.13,0.876,0.7805,15,26
7050514462322,80,0,0.01,0.13,0.876,0.7805,15,27
3528766042062,80,0,0.01,0.13,0.876,0.7805,15,28
3184945345283,80,0,0.01,0.13,0.876,0.7805,15,29
7050434462322,80,0,0.01,0.13,0.876,0.7805,15,3
7676806359974,80,0,0.01,0.13,0.876,0.7805,15,30
4353755304972,80,0,0.01,0.13,0.876,0.7805,15,4
7638986113955,80,0,0.01,0.13,0.876,0.7805,15,5
3578406277810,80,0,0.01,0.13,0.876,0.7805,15,6
7088134545295,80,0,0.01,0.13,0.876,0.7805,15,7
3568666236758,80,0,0.01,0.13,0.876,0.7805,15,8
3009774758851,80,0,0.01,0.13,0.876,0.7805,15,9
3040064859030,80,0,0.01,0.13,0.876,0.7805,4,1
3599556360535,80,0,0.01,0.13,0.876,0.7805,4,10
7117844658654,80,0,0.01,0.13,0.876,0.7805,4,11
4348975266735,80,0,0.01,0.13,0.876,0.7805,4,12
3092575066504,80,0,0.01,0.13,0.876,0.7805,4,13
3542776125498,80,0,0.01,0.13,0.876,0.7805,4,14
4353725304952,80,0,0.01,0.13,0.876,0.7805,4,15
4260924471824,80,0,0.01,0.13,0.876,0.7805,4,16
4335715169031,80,0,0.01,0.13,0.876,0.7805,4,17
3055014911123,80,0,0.01,0.13,0.876,0.7805,4,18
4267214514957,80,0,0.01,0.13,0.876,0.7805,4,19
5009185545029,80,0,0.01,0.13,0.876,0.7805,4,2
3124655134271,80,0,0.01,0.13,0.876,0.7805,4,20
7250735354127,80,0,0.01,0.13,0.876,0.7805,4,21
4297884804624,80,0,0.01,0.13,0.876,0.7805,4,22
