seed,sim_gens,init_corin,init_opt,final_opt,fitness_width,lambda,replicate
4042204180304,80,0.01,0.13,0.876,0.7805,15,18
8221055549365,80,0.01,0.13,0.876,0.7805,15,19
7942174124498,80,0.01,0.13,0.876,0.7805,15,2
3660162065095,80,0.01,0.13,0.876,0.7805,15,20
3904363533384,80,0.01,0.13,0.876,0.7805,15,21
7900363871317,80,0.01,0.13,0.876,0.7805,15,22
3729692463959,80,0.01,0.13,0.876,0.7805,15,23
7781782686545,80,0.01,0.13,0.876,0.7805,15,24
8187235357343,80,0.01,0.13,0.876,0.7805,15,25
1930125695158,80,0.01,0.13,0.876,0.7805,15,26
4837806209255,80,0.01,0.13,0.876,0.7805,15,27
2610026167962,80,0.01,0.13,0.876,0.7805,15,28
4373105486224,80,0.01,0.13,0.876,0.7805,15,29
7914283965247,80,0.01,0.13,0.876,0.7805,15,3
3935143700987,80,0.01,0.13,0.876,0.7805,15,30
1944775776175,80,0.01,0.13,0.876,0.7805,15,4
7952464174321,80,0.01,0.13,0.876,0.7805,15,5
7968634270272,80,0.01,0.13,0.876,0.7805,15,6
3961473834255,80,0.01,0.13,0.876,0.7805,15,7
4898464691401,80,0.01,0.13,0.876,0.7805,15,8
4771955736349,80,0.01,0.13,0.876,0.7805,15,9
4978505576451,80,0.01,0.13,0.876,0.7805,4,1
3988873972597,80,0.01,0.13,0.876,0.7805,4,10
4970125468018,80,0.01,0.13,0.876,0.7805,4,11
1986536002621,80,0.01,0.13,0.876,0.7805,4,12
8128495075664,80,0.01,0.13,0.876,0.7805,4,13
4187534743176,80,0.01,0.13,0.876,0.7805,4,14
2583565767925,80,0.01,0.13,0.876,0.7805,4,15
2594695919619,80,0.01,0.13,0.876,0.7805,4,16
3910893570093,80,0.01,0.13,0.876,0.7805,4,17
4205434817605,80,0.01,0.13,0.876,0.7805,4,18
7808212958429,80,0.01,0.13,0.876,0.7805,4,19
1912925269119,80,0.01,0.13,0.876,0.7805,4,2
2604356050433,80,0.01,0.13,0.876,0.7805,4,20
1933015710238,80,0.01,0.13,0.876,0.7805,4,21
4931545066270,80,0.01,0.13,0.876,0.7805,4,22
4847936273373,80,0.01,0.13,0.876,0.7805,4,23
4591076187058,80,0.01,0.13,0.876,0.7805,4,24
7923034029209,80,0.01,0.13,0.876,0.7805,4,25
3792662818875,80,0.01,0.13,0.876,0.7805,4,26
