"catalognumber","decimallatitude","decimallongitude"
"9086629",50.9661169524,-114.0677189827
"9086526",50.942621,-114.089008
"9086426",51.0786758889,-114.1331755833
"9086358",51.0786141389,-114.1323171111
"9083442",51.0774388333,-114.1236888333
"9080857",51.0545207265,-114.1218328848
"9080828",51.0578091226,-114.1238418594
"9077689",51.0802241,-114.1325966
"9068061",51.078184636,-114.1359329224
"9068056",51.0785081093,-114.1431427002
"9068044",51.0802337362,-114.1548156738
"9068019",51.0820849694,-113.92993927
"9061369",50.9818202016,-114.0592044373
"9053276",50.9820441783,-114.0592820275
"9039181",50.9820127909,-114.0592785707
"9038355",51.078376,-114.128353
"9034072",51.0783329265,-114.1305520758
"9024472",51.0761916667,-114.1298138333
"9024458",51.0755805,-114.1357333333
"9024255",51.0757861667,-114.1344695
"9010601",51.07802199,-114.12500428
"8995030",51.0611648836,-113.994069612
"8913216",51.1135962901,-113.9336177177
"9010617",51.07804304,-114.12506176
"9004969",51.07816,-114.135801
"9001088",50.895974,-114.0383881
"9001066",50.8951668,-114.0408948
"8999971",51.0578956604,-114.1199111938
"8999439",51.0751305,-114.1352778333
"8998781",50.9534589618,-114.0914655849
"8994692",50.9458808899,-114.0320968628
"8994645",51.079334259,-114.1308135986
"8953436",51.0579376221,-114.119682312
"8953433",51.057926178,-114.120010376
"8951508",51.150377,-114.084077
"8951498",51.147442,-114.081717
"8951483",51.07816,-114.135801
"8946684",51.0798294973,-114.1310150921
"8937458",51.0615305,-114.1082611667
"8937350",51.07845,-114.1326055
"8937363",51.0793583333,-114.1320195
"8937355",51.0785833333,-114.1328055
"8937419",51.07915,-114.1326138333
"8937440",51.0786666667,-114.1394195
"8927300",51.07816,-114.135801
"8926868",51.0627528333,-114.1078416667
"8926825",51.0615611667,-114.1097805
"8926857",51.0623695,-114.1092083333
"8926814",51.063175,-114.1107333333
"8924643",51.0563154222,-114.1004161164
"8924563",51.073033982,-114.1238750517
"8920292",51.0773582458,-114.1309585571
"8910450",51.0769971667,-114.1294638333
"8909933",50.9810366667,-114.0527945
"8909188",51.0811362556,-114.1351096519
"8906542",51.0786933899,-114.1292572021
"8899884",51.0756797791,-114.1335830688
"8896429",51.0752449036,-114.1344528198
"8896408",51.0580101013,-114.086265564
"8894716",51.0646971667,-114.1084583333
"8894705",51.0630861667,-114.1092388333
"8894703",51.0626555,-114.1092138333
"8891057",51.12741311,-113.94373239
"8890505",51.0802339436,-114.1329543293
"8890222",51.0440709549,-114.1385703991
"8882436",51.079975,-114.1295916667
"8881983",51.0625721667,-114.1091695
"8851315",51.0644221667,-114.1096195
"8844345",51.0751305,-114.13385
"8831613",51.0796161257,-114.1254451498
"8825686",51.0799036675,-114.1309792459
"8822577",50.975532769,-114.07598941
"8817694",51.0756305,-114.1347721667
"8810065",51.0760611667,-114.1350695
"8802598",51.0612638333,-114.1141361667
"8800878",51.1138948,-114.0603095
"8800762",51.1156419,-114.0602889
"8800516",51.1066621,-114.0607978
"8800517",51.1069208,-114.0608686
"8799695",51.1014822,-114.0615474
"8799509",51.0781599,-114.1358007
"8799555",51.1055553,-114.0655912
"8799302",51.0781599,-114.1358007
"8797171",50.9151645,-113.9828345
"8789972",51.0753833333,-114.1230388333
"8789872",51.0753971667,-114.1230083333
"8789933",51.0761971667,-114.1258916667
"8786890",44.6178441534,-111.6547393799
"8767963",51.078206,-114.125066
"8755701",51.1402160115,-114.1328189514
"8682177",50.9700093,-114.086095
"8663484",51.0798226478,-114.1307972461
"8546612",51.0771621438,-114.124127347
"6935067",37.799345,-118.911475
"6447939",50.9735620061,-114.0875244141
"6254374",50.9151645,-113.9828345
"431389",44.4708333333,-112.9623333333
"1778866",37.8822669983,-119.3607177734
"1564730",51.062976,-114.099627
"8743835",51.0798977373,-114.1295057384
"8718073",51.1460805,-114.1858883333
"8696616",51.0759,-114.1341388333
"8696625",51.0796888333,-114.1307445
"8639936",51.1686096191,-114.1488876343
"8626730",51.0777778625,-114.131942749
"8577553",51.0774993896,-114.1322250366
"8559285",51.07983149,-114.1311922457
"8536890",51.0751594422,-114.1332539353
"8535901",51.0789206075,-114.1259135306
"8537880",51.0764007568,-114.1303100586
"8517100",51.0754282842,-114.1357599823
"8500886",51.0659028333,-114.210005
"8483849",50.9557213634,-114.07969404
"8456978",51.076350588,-114.1298865068
"8456970",51.0760828647,-114.129964495
"8458610",51.0778721667,-114.1359555
"8452145",51.0757798757,-114.1340998637
"8449424",51.0760258776,-114.1297450843
"8447878",51.0776023865,-114.1273193359
"8447594",51.0792541504,-114.1268692017
"8443753",51.0786981743,-114.127803817
"8440428",51.0754778333,-114.1279305
"8436922",51.1455221242,-114.0770153348
"8434853",51.1057939952,-114.0767975722
"8422440",51.0749030227,-114.1345795498
"8407312",51.0753169732,-114.133227836
"8407359",51.0761219836,-114.1360732614
"8392843",51.1190508139,-114.137406125
"8390841",51.1458635298,-114.0791559219
"8384139",51.0836683447,-114.1414047965
"8368847",51.075690587,-114.1326123476
"8368852",51.0754748791,-114.1291415691
"8368846",51.0760811639,-114.1358768453
"8368977",51.0776453935,-114.1407394409
"8368975",51.0785081784,-114.1441726685
"8361433",51.0767286649,-114.1362333269
"8361424",51.0775645066,-114.1373276711
"8360336",51.0780100622,-114.1251745838
"8360264",51.0778205014,-114.1254003217
"8357976",51.0754681382,-114.1331702471
"8357972",51.0754276929,-114.1290611029
"8357977",51.0776858369,-114.1372686625
"8355793",51.1667716667,-114.082175
"8353359",51.151449,-114.086857
"8350787",51.0786094666,-114.1275024414
"8327539",50.9768739311,-114.1330984437
"8324801",49.84483,-99.9632633333
"8327780",52.2611634099,-113.7631560438
"8327164",50.9303833402,-113.9576921351
"8312364",51.0653588548,-114.1323737039
"8285691",51.0790406705,-114.1391032939
"8285669",51.0770252569,-114.135761261
"8285664",51.0788317186,-114.1381108761
"8276289",51.0785029125,-114.1303147003
"8275471",51.0768769622,-114.137485921
"8275426",51.0751782789,-114.1313302509
"8271025",51.0812276183,-114.1365795863
"8265592",51.1458194443,-114.0772436747
"8264065",53.5435716176,-113.466796875
"8258499",53.5634766717,-113.2751959562
"8244731",51.0791013337,-114.140278101
"8223185",51.18026508,-114.3226999264
"7707617",50.4397583333,-104.6176216667
"UMNH:Mamm:9544",38.0821,-110.50814
"UMNH:Mamm:8819",38.24059,-111.54519
"UMNH:Mamm:7018",41.93155,-113.34866
"UMNH:Mamm:7016",39.33467,-111.40871
"UMNH:Mamm:7019",40.72472,-111.34111
"UMNH:Mamm:695",40.68917,-111.79028
"UMNH:Mamm:560",40.75095,-111.7578
"UMNH:Mamm:498",40.58139,-111.22639
"UMNH:Mamm:501",40.58139,-111.22639
"UMNH:Mamm:499",40.58139,-111.22639
"UMNH:Mamm:41433",37.92613,-106.3385789
"UMNH:Mamm:41434",37.92613,-106.3385789
"UMNH:Mamm:41320",40.6034,-111.11787
"UMNH:Mamm:36118",38.264,-106.683
"UMNH:Mamm:36116",38.264,-106.683
"UMNH:Mamm:36117",38.264,-106.683
"UMNH:Mamm:34938",41.867,-113.744
"UMNH:Mamm:31201",41.5,-109.5
