"catalognumber","decimallatitude","decimallongitude","roundlat","roundlon"
"17280166",51.0354500829,-114.1796289019,51.03545,-114.17963
"17279948",51.0797810846,-114.1321462788,51.07978,-114.13215
"17279674",51.0798083962,-114.1314535145,51.07981,-114.13145
"17247375",51.1357089725,-114.1948815667,51.13571,-114.19488
"17247065",51.0376339259,-114.0809229113,51.03763,-114.08092
"17227882",51.077181045,-114.1315619276,51.07718,-114.13156
"17212866",51.07615422,-114.1304262635,51.07615,-114.13043
"17204550",51.2930233229,-114.0353517607,51.29302,-114.03535
"17159749",51.0749955132,-114.1353493589,51.075,-114.13535
"17159309",51.0800914051,-114.1296504635,51.08009,-114.12965
"17116638",51.0756593184,-114.1343884376,51.07566,-114.13439
"17116620",51.075688635,-114.1343232685,51.07569,-114.13432
"17116412",51.0724121123,-114.1314359127,51.07241,-114.13144
"17085377",51.0786055,-114.1249471667,51.07861,-114.12495
"17079331",37.5286266988,-118.1942103387,37.52863,-118.19421
"17069267",51.0750158,-114.1343026,51.07502,-114.1343
"17045014",51.1559902433,-114.0399748849,51.15599,-114.03997
"17043565",51.0797233582,-114.1322250366,51.07972,-114.13223
"17034135",51.0233335764,-114.0089718715,51.02333,-114.00897
"17011667",51.0772388333,-114.1240778333,51.07724,-114.12408
"16983397",50.4329516667,-104.5900983333,50.43295,-104.5901
"16983317",51.0760186699,-114.1252814279,51.07602,-114.12528
"300692",37.744055,-105.525483,37.74406,-105.52548
"16956898",51.0789222717,-114.1308059692,51.07892,-114.13081
"16947350",51.0911238799,-114.1621301416,51.09112,-114.16213
"16946249",51.1715175866,-114.0985286092,51.17152,-114.09853
"16944840",51.1357240953,-114.1948556186,51.13572,-114.19486
"16929395",51.0764677031,-114.1305397545,51.07647,-114.13054
"16921855",51.122698263,-114.1375435889,51.1227,-114.13754
"16920056",51.0793247167,-114.130182853,51.07932,-114.13018
"16912021",51.076359409,-114.1341409554,51.07636,-114.13414
"16901022",51.0750378,-114.1342634,51.07504,-114.13426
"16888136",51.0801083333,-114.1304945,51.08011,-114.13049
"16886475",51.1254002032,-114.1384029016,51.1254,-114.1384
"16883703",51.0753175072,-114.1360112406,51.07532,-114.13601
"16883418",51.079980876,-114.1299736643,51.07998,-114.12997
"16879503",51.0783192656,-114.1323297099,51.07832,-114.13233
