iteration,K,pop_size,desired_h2,p_corin,p_ednrb,Va,Ve,Vp,obs_h2
1,2750,2750,0.64,0.703273,0.576182,6.49723,3.65469,10.0513,0.646404
1,2750,2750,0.64,0.703273,0.576182,6.16683,3.46884,9.84879,0.626151
1,2750,2750,0.64,0.703273,0.576182,6.44156,3.62338,9.73533,0.661669
1,2750,2750,0.64,0.703273,0.576182,6.52811,3.67206,10.1039,0.646097
1,2750,2750,0.64,0.703273,0.576182,6.27684,3.53072,10.0853,0.622377
1,2750,2750,0.64,0.703273,0.576182,6.55679,3.6882,10.2629,0.638883
1,2750,2750,0.64,0.703273,0.576182,6.37446,3.58563,10.0474,0.634441
1,2750,2750,0.64,0.703273,0.576182,6.21625,3.49664,9.5083,0.653771
1,2750,2750,0.64,0.703273,0.576182,6.2901,3.53818,9.98573,0.629909
1,2750,2750,0.64,0.703273,0.576182,6.36084,3.57797,10.1126,0.628999
1,2750,2750,0.64,0.703273,0.576182,6.3713,3.58385,10.2226,0.623257
1,2750,2750,0.64,0.703273,0.576182,6.37122,3.58381,9.86911,0.645572
1,2750,2750,0.64,0.703273,0.576182,6.21908,3.49823,9.64416,0.644854
1,2750,2750,0.64,0.703273,0.576182,6.27689,3.53075,10.2546,0.612103
1,2750,2750,0.64,0.703273,0.576182,6.20768,3.49182,9.47888,0.654895
1,2750,2750,0.64,0.703273,0.576182,6.22072,3.49916,9.67908,0.642698
1,2750,2750,0.64,0.703273,0.576182,6.51924,3.66707,9.92922,0.656571
1,2750,2750,0.64,0.703273,0.576182,6.44562,3.62566,10.2089,0.631374
1,2750,2750,0.64,0.703273,0.576182,6.43964,3.6223,10.0237,0.642442
1,2750,2750,0.64,0.703273,0.576182,6.25896,3.52066,10.0047,0.625602
1,2750,2750,0.64,0.703273,0.576182,6.4628,3.63533,10.0604,0.642402
1,2750,2750,0.64,0.703273,0.576182,6.25497,3.51842,9.46448,0.660889
1,2750,2750,0.64,0.703273,0.576182,6.23791,3.50882,9.82864,0.634666
1,2750,2750,0.64,0.703273,0.576182,6.2745,3.52941,9.48869,0.661261
1,2750,2750,0.64,0.703273,0.576182,6.44872,3.6274,10.3954,0.620343
1,2750,2750,0.64,0.703273,0.576182,6.15108,3.45998,9.68057,0.635404
1,2750,2750,0.64,0.703273,0.576182,6.30764,3.54805,10.0441,0.627993
1,2750,2750,0.64,0.703273,0.576182,6.40212,3.60119,9.99867,0.640297
1,2750,2750,0.64,0.703273,0.576182,6.38437,3.59121,10.0373,0.636062
1,2750,2750,0.64,0.703273,0.576182,6.25828,3.52028,9.7185,0.643955
1,2750,2750,0.64,0.703273,0.576182,6.18235,3.47757,9.84375,0.628049
1,2750,2750,0.64,0.703273,0.576182,6.25942,3.52093,9.86069,0.634785
1,2750,2750,0.64,0.703273,0.576182,6.59246,3.70826,10.5139,0.627022
1,2750,2750,0.64,0.703273,0.576182,6.21247,3.49452,9.56794,0.649301
1,2750,2750,0.64,0.703273,0.576182,6.2868,3.53633,9.73167,0.646015
1,2750,2750,0.64,0.703273,0.576182,6.26769,3.52557,9.36993,0.668915
1,2750,2750,0.64,0.703273,0.576182,6.15789,3.46381,9.56685,0.64367
1,2750,2750,0.64,0.703273,0.576182,6.37481,3.58583,10.0253,0.63587
1,2750,2750,0.64,0.703273,0.576182,6.55156,3.68525,10.358,0.63251
1,2750,2750,0.64,0.703273,0.576182,6.54023,3.67888,10.2513,0.637993
1,2750,2750,0.64,0.703273,0.576182,6.32934,3.56025,9.91446,0.638395
1,2750,2750,0.64,0.703273,0.576182,6.61434,3.72057,10.2527,0.645134
1,2750,2750,0.64,0.703273,0.576182,6.24329,3.51185,9.61782,0.649138
1,2750,2750,0.64,0.703273,0.576182,6.30365,3.5458,9.88718,0.637558
1,2750,2750,0.64,0.703273,0.576182,6.24464,3.51261,10.2556,0.608901
1,2750,2750,0.64,0.703273,0.576182,6.37315,3.5849,9.94159,0.64106
1,2750,2750,0.64,0.703273,0.576182,6.33865,3.56549,9.43205,0.672033
